group0,group1,group2,marka,model,catalog_number,reason
ходовая часть,натяжитель,натяжитель в сборе,volvo,BL71,,Not found on Avito
система двигателя,печка,,hitachi,EX200-3,,Not found on Avito
запчасти двигателя,насос водяной,,hyundai,R160LC-9S,,Not found on Avito
ходовая часть,!,,volvo,BL61,,Not found on Avito
запчасти двигателя,насос водяной,,cat,336,,Not found on Avito
запчасти двигателя,ремни и ролики,ремень генератора,cat,325,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,volvo,EC380DL,,Not found on Avito
запчасти двигателя,генератор,,volvo,EC290,,Not found on Avito
рабочее оборудование,пальцы и втулки,!,volvo,EC220DL,,Not found on Avito
запчасти двигателя,форсунка,,hyundai,R210LC-7,,Not found on Avito
комплектующие рамы,стекло,стекло лобовое кабины,doosan,DX260LCA,,Not found on Avito
запчасти двигателя,термостат,,hyundai,R220LC-9S,,Not found on Avito
гидравлический компонент,гидромотор,гидромотор поворота,hitachi,ZX330,,Not found on Avito
комплектующие рамы,стекло,!,hyundai,R250,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,hitachi,ZX330,,Not found on Avito
электрическая система,монитор,,hyundai,R220,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,hyundai,R250,31n7-10011,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,hyundai,R160LC-7,31n5-10011,Not found on Avito
запчасти двигателя,!,,doosan,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,doosan,SOLAR 255LC-V,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,jcb,JS 220,215/13686,Not found on Avito
трансмиссия,вал карданный,,doosan,SOLAR 210W-V,,Not found on Avito
гидравлический компонент,джойстик,,hitachi,ZX210W-3,,Not found on Avito
запчасти двигателя,поршневая группа,поршень,hyundai,R170W-7,,Not found on Avito
гидравлический компонент,насос рулевого управления,,jcb,JS 175W,,Not found on Avito
гидравлический компонент,гидромотор,гидромотор поворота,hyundai,R260LC-9S,31q7-10130,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,hyundai,R320LC-7,,Not found on Avito
